1,indeed,https://fi.indeed.com/viewjob?jk=912e807795405a00,https://supercell.com/en/careers/product-manager-liveops/2339251/,"Product Manager, LiveOps",SUPERCELL,"Helsinki, F19, FI",2025-11-07,,,,,,,False,,,,,,,https://fi.indeed.com/cmp/Supercell,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/58f6ab0d58a71db73d43f4dfb84e5b32,http://www.supercell.com,,,,,,,,,,
2,indeed,https://fi.indeed.com/viewjob?jk=7acc14cdcf671a46,https://grnh.se/etywvfv64us,Senior Server Developer,Small Giant Games,"Helsinki, F19, FI",2025-11-07,,,,,,,True,,,,accommodationRequest@zynga.com,,,https://fi.indeed.com/cmp/Small-Giant-Games,,,,,,,,,,,,
3,indeed,https://fi.indeed.com/viewjob?jk=1ccd881bd596c33a,https://emp.jobylon.com/jobs/320146-withsecure-lead-developer-salesforce/,Lead Developer (Salesforce),WithSecure,"Helsinki, F19, FI",2025-11-07,,,,,,,False,,,,,,,https://fi.indeed.com/cmp/Withsecure,,,,,,,,,,,,
4,indeed,https://fi.indeed.com/viewjob?jk=ea07b5f322fd6a2e,https://emp.jobylon.com/jobs/320465-basware-senior-platformcloud-engineer-data-platform-engineering-team/,Senior Platform/Cloud Engineer – Data Platform Engineering Team,BasWare,"Espoo, F19, FI",2025-11-07,,,,,,,False,,,,,,,https://fi.indeed.com/cmp/Basware,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b2788f08ec25a13166ad767fec4e183f,https://www.basware.com,Espoo,"1,001 to 5,000",$100M to $500M (USD),,,,,,,
5,indeed,https://fi.indeed.com/viewjob?jk=1ebb821a7e5a08d2,https://vincitoyj.teamtailor.com/jobs/6720252-fullstack-developer-python-react,Fullstack Developer (Python + React),VINCIT,"Helsinki, F19, FI",2025-11-06,,,,,,,False,,,,,,,https://fi.indeed.com/cmp/Vincit,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f1832fb788f4895769f90faf90877dcf,https://www.vincit.com/,, tampere,,,Vincit is a global custom software development and design agency that creates digital services and software applications from idea to market.,,,,,,
6,indeed,https://fi.indeed.com/viewjob?jk=9e383eb159371cdf,https://careers.citycon.com/jobs/6721017-junior-hr-financial-controller,Junior HR & Financial Controller,Citycon,"Espoo, F19, FI",2025-11-06,,,,,,,False,,,,,,,https://fi.indeed.com/cmp/Citycon,,,,,,,,,,,,
7,indeed,https://fi.indeed.com/viewjob?jk=b3e54f6f08f51098,https://valmet.wd103.myworkdayjobs.com/en-US/External/job/Vantaa/Global-Product-Manager--Roll-Agreements_R51224-1,"Global Product Manager, Roll Agreements",Valmet,"Vantaa, F19, FI",2025-11-06,fulltime,,,,,,False,,,,"timo.harjunpaa@valmet.com, mariana.henriques@valmet.com",,,https://fi.indeed.com/cmp/Valmet,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/81312cd0d451652bea78dac202a6854c,https://www.valmet.com/,Espoo,"10,000+",,"Valmet has extensive technological know-how and a broad process understanding in solution related to the pulp, paper and energy industries.",,,,,,
8,indeed,https://fi.indeed.com/viewjob?jk=dc1dfadb6a90c428,https://ats.rippling.com/prisma-careers/jobs/b7a666d2-b726-4cbb-a5b8-6e5bf60781bb?jobSite=Indeed,Senior Backend Engineer [TypeScript] (Prisma ORM),Prisma Data,"Helsinki, F19, FI",2025-11-06,fulltime,,,,,,True,,,,,,,https://fi.indeed.com/cmp/Prisma-Data,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/66a9a0557d80a55aadf9ae826382b579,http://www.prisma.io,,51 to 200,less than $1M (USD),Prisma is a next generation ORM for Node.JS and TypeScript,,,,,,
9,indeed,https://fi.indeed.com/viewjob?jk=48f36dc5ce1254fe,https://kone.wd3.myworkdayjobs.com/en-US/Careers/job/Espoo/Lead-Senior-Software-Developer--Web-Cloud-Backend_R0654516,"Lead/Senior/Software Developer, Web/Cloud Backend",KONE,"Espoo, F19, FI",2025-11-06,fulltime,,,,,,True,,,,Javier.galvez@kone.com,,,https://fi.indeed.com/cmp/Kone,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/511c9179bd62688ae0cc1cdc4ea28f43,https://www.kone.com,Espoo,"10,000+",more than $10B (USD),"At KONE, our mission is to improve the flow of urban life. We understand People Flow in and between buildings, making people’s journeys safe, convenient and reliable.",,,,,,
10,indeed,https://fi.indeed.com/viewjob?jk=9af6d9a4a05b54d5,https://grnh.se/lk26h5y32us,Senior Backend Developer,Yousician,"Helsinki, F19, FI",2025-11-06,,,,,,,False,,,,lis@yousician.com,,,https://fi.indeed.com/cmp/Yousician,,http://www.yousician.com,Helsinki,51 to 200,,,,,,,,
11,indeed,https://fi.indeed.com/viewjob?jk=736a34085ad8d48c,https://ats.rippling.com/prisma-careers/jobs/9e84c754-3f20-4712-be1e-e27775dbdfdd?jobSite=Indeed,Senior Backend Engineer [TypeScript] (Prisma Postgres),Prisma Data,"Helsinki, F19, FI",2025-11-06,fulltime,,,,,,True,,,,,,,https://fi.indeed.com/cmp/Prisma-Data,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/66a9a0557d80a55aadf9ae826382b579,http://www.prisma.io,,51 to 200,less than $1M (USD),Prisma is a next generation ORM for Node.JS and TypeScript,,,,,,
12,indeed,https://fi.indeed.com/viewjob?jk=36760e7085228be0,https://valmet.wd103.myworkdayjobs.com/en-US/External/job/Vantaa/Senior-Manager--People-Technology-and-Projects_R52623,"Senior Manager, People Technology and Projects",Valmet,"Vantaa, F19, FI",2025-11-06,fulltime,,,,,,False,,,,wiktoria.miedzinska@valmet.com,,,https://fi.indeed.com/cmp/Valmet,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/81312cd0d451652bea78dac202a6854c,https://www.valmet.com/,Espoo,"10,000+",,"Valmet has extensive technological know-how and a broad process understanding in solution related to the pulp, paper and energy industries.",,,,,,
13,indeed,https://fi.indeed.com/viewjob?jk=540a6115b11b88df,https://s-ryhma.fi/tyopaikat/avoimet-tyopaikat?id=R-34514,"Principal Engineer, AppSec",S-ryhmä,"Helsinki, F19, FI",2025-11-05,fulltime,,,,,,False,,,,,,,https://fi.indeed.com/cmp/S--ryhm%C3%A4,,,,,,,,,,,,
14,indeed,https://fi.indeed.com/viewjob?jk=fa1fe65fa85cd546,https://careers.citycon.com/jobs/6713857-internal-controls-compliance-manager,Internal Controls & Compliance Manager,Citycon,"Espoo, F19, FI",2025-11-05,,,,,,,False,,,,,,,https://fi.indeed.com/cmp/Citycon,,,,,,,,,,,,
15,indeed,https://fi.indeed.com/viewjob?jk=b04fa0ffc8c5064c,https://careers.citycon.com/jobs/6714412-hr-assistant,HR Assistant,Citycon,"Espoo, F19, FI",2025-11-05,,,,,,,False,,,,,,,https://fi.indeed.com/cmp/Citycon,,,,,,,,,,,,
16,linkedin,https://www.linkedin.com/jobs/view/4320631005,,Software Developer,Euronext,"Espoo, Uusimaa, Finland",2025-11-04,,,,,,,False,,,,,,,https://www.linkedin.com/company/euronext,,,,,,,,,,,,
17,linkedin,https://www.linkedin.com/jobs/view/4320150277,,Full Stack Developer,OrangIT,"Helsinki, Uusimaa, Finland",2025-10-31,,,,,,,False,,,,,,,https://fi.linkedin.com/company/orangit,,,,,,,,,,,,
18,linkedin,https://www.linkedin.com/jobs/view/4323934481,,Software Developer,Finnair,"Vantaa, Uusimaa, Finland",2025-10-30,,,,,,,False,,,,,,,https://fi.linkedin.com/company/finnair,,,,,,,,,,,,
19,linkedin,https://www.linkedin.com/jobs/view/3858587662,,Full Stack Developer,Reaktor,,2025-10-26,,,,,,,False,,,,,,,https://fi.linkedin.com/company/reaktor_,,,,,,,,,,,,
20,linkedin,https://www.linkedin.com/jobs/view/4318521269,,Frontend Developer,Visma,"Helsinki, Uusimaa, Finland",2025-10-22,,,,,,,False,,,,,,,https://no.linkedin.com/company/visma,,,,,,,,,,,,
21,linkedin,https://www.linkedin.com/jobs/view/4186431761,,Software Developer,Reaktor,,2025-10-20,,,,,,,False,,,,,,,https://fi.linkedin.com/company/reaktor_,,,,,,,,,,,,
